IncidentNum,ArresteeID,age,race,sex,current_charge_violent,age_younger_than_20,pending_charge,prior_conviction,prior_violent_conviction,prior_violent_conviction_3plus,outcome__violent_rearrest,outcome__any_rearrest
058926-2019,102468259.0,50.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
058926-2019,8607720.0,50.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
058926-2019,102253069.0,50.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
058926-2019,102366171.0,50.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
058926-2019,102315487.0,50.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
058926-2019,102430303.0,50.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
095586-2019,101998644.0,23.0,Black,Male,1,0,0,0,0,0,0,0
032955-2019,101915551.0,29.0,Black,Male,1,0,0,0,0,0,0,0
032955-2019,101915551.0,29.0,Black,Male,1,0,0,0,0,0,0,0
186943-2019,102122292.0,23.0,Middle Eastern,Male,0,0,0,0,0,0,0,0
227077-2019,102175986.0,40.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
227077-2019,102175986.0,40.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
143265-2018,102493798.0,18.0,Black,Male,1,1,0,0,0,0,0,0
143265-2018,101681693.0,18.0,Black,Male,1,1,0,0,0,0,0,0
161955-2019,102089012.0,19.0,Black,Female,1,1,0,0,0,0,0,0
028702-2019,101909977.0,22.0,Black,Male,0,0,0,0,0,0,0,0
050205-2019,101937535.0,28.0,Black,Male,0,0,0,0,0,0,0,0
077116-2019,101068286.0,23.0,Black,Male,0,0,0,0,0,0,0,0
183242-2019,102012407.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,101796796.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,102117407.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,101959727.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,101878981.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,101959132.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,101835469.0,27.0,White,Male,0,0,0,1,0,0,0,0
183242-2019,101814742.0,27.0,White,Male,0,0,0,1,0,0,0,0
005358-2019,102012407.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,101796796.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,102117407.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,101959727.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,101878981.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,101959132.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,101835469.0,27.0,White,Male,0,0,1,0,0,0,0,1
005358-2019,101814742.0,27.0,White,Male,0,0,1,0,0,0,0,1
065963-2019,102012407.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,101796796.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,102117407.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,101959727.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,101878981.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,101959132.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,101835469.0,27.0,White,Male,0,0,1,1,0,0,0,1
065963-2019,101814742.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,102012407.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,101796796.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,102117407.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,101959727.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,101878981.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,101959132.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,101835469.0,27.0,White,Male,0,0,1,1,0,0,0,1
106015-2019,101814742.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,102012407.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,101796796.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,102117407.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,101959727.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,101878981.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,101959132.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,101835469.0,27.0,White,Male,0,0,1,1,0,0,0,1
066344-2019,101814742.0,27.0,White,Male,0,0,1,1,0,0,0,1
223741-2018,102012407.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,101796796.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,102117407.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,101959727.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,101878981.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,101959132.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,101835469.0,27.0,White,Male,0,0,0,0,0,0,0,1
223741-2018,101814742.0,27.0,White,Male,0,0,0,0,0,0,0,1
235838-2018,102012407.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,101796796.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,102117407.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,101959727.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,101878981.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,101959132.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,101835469.0,27.0,White,Male,0,0,1,0,0,0,0,1
235838-2018,101814742.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,102012407.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,101796796.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,102117407.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,101959727.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,101878981.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,101959132.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,101835469.0,27.0,White,Male,0,0,1,0,0,0,0,1
251651-2018,101814742.0,27.0,White,Male,0,0,1,0,0,0,0,1
046299-2019,20676995.0,21.0,Black,Male,1,0,0,0,0,0,0,0
046299-2019,20676995.0,21.0,Black,Male,1,0,0,0,0,0,0,0
047226-2019,101933772.0,41.0,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
047226-2019,101933772.0,41.0,Hispanic or Latino,Male,1,0,0,0,0,0,0,0
072917-2019,10325930.0,40.0,Black,Female,0,0,0,0,0,0,0,0
072917-2019,10325930.0,40.0,Black,Female,0,0,0,0,0,0,0,0
221555-2019,102168411.0,28.0,White,Male,0,0,0,0,0,0,0,0
011530-2019,101887344.0,26.0,Black,Male,1,0,0,0,0,0,0,0
111101-2018,12614016.0,,Hispanic or Latino,Male,0,0,0,0,0,0,0,0
048579-2019,101815122.0,30.0,Black,Female,0,0,0,0,0,0,0,0
048579-2019,101815122.0,30.0,Black,Female,1,0,0,0,0,0,0,0
048579-2019,101815122.0,30.0,Black,Female,0,0,0,0,0,0,0,0
048579-2019,101815122.0,30.0,Black,Female,1,0,0,0,0,0,0,0
