ArresteeID,arrests__arrest_year,ArrestNumber,arrests__weapon
102493798.0,2020,20-034161,Unarmed
101681693.0,2020,20-034161,Unarmed
102493798.0,2018,18-022775,Unarmed
101681693.0,2018,18-022775,Unarmed
102012407.0,2019,19-033083,Unarmed
101796796.0,2019,19-033083,Unarmed
102117407.0,2019,19-033083,Unarmed
101959727.0,2019,19-033083,Unarmed
101878981.0,2019,19-033083,Unarmed
101959132.0,2019,19-033083,Unarmed
101835469.0,2019,19-033083,Unarmed
101814742.0,2019,19-033083,Unarmed
102012407.0,2019,19-000886,Unarmed
101796796.0,2019,19-000886,Unarmed
102117407.0,2019,19-000886,Unarmed
101959727.0,2019,19-000886,Unarmed
101878981.0,2019,19-000886,Unarmed
101959132.0,2019,19-000886,Unarmed
101835469.0,2019,19-000886,Unarmed
101814742.0,2019,19-000886,Unarmed
102012407.0,2019,19-011683,Unarmed
101796796.0,2019,19-011683,Unarmed
102117407.0,2019,19-011683,Unarmed
101959727.0,2019,19-011683,Unarmed
101878981.0,2019,19-011683,Unarmed
101959132.0,2019,19-011683,Unarmed
101835469.0,2019,19-011683,Unarmed
101814742.0,2019,19-011683,Unarmed
102012407.0,2019,19-018638,Unarmed
101796796.0,2019,19-018638,Unarmed
102117407.0,2019,19-018638,Unarmed
101959727.0,2019,19-018638,Unarmed
101878981.0,2019,19-018638,Unarmed
101959132.0,2019,19-018638,Unarmed
101835469.0,2019,19-018638,Unarmed
101814742.0,2019,19-018638,Unarmed
102012407.0,2019,19-011746,Unarmed
101796796.0,2019,19-011746,Unarmed
102117407.0,2019,19-011746,Unarmed
101959727.0,2019,19-011746,Unarmed
101878981.0,2019,19-011746,Unarmed
101959132.0,2019,19-011746,Unarmed
101835469.0,2019,19-011746,Unarmed
101814742.0,2019,19-011746,Unarmed
102012407.0,2018,18-036581,Unarmed
101796796.0,2018,18-036581,Unarmed
102117407.0,2018,18-036581,Unarmed
101959727.0,2018,18-036581,Unarmed
101878981.0,2018,18-036581,Unarmed
101959132.0,2018,18-036581,Unarmed
101835469.0,2018,18-036581,Unarmed
101814742.0,2018,18-036581,Unarmed
102012407.0,2018,18-038547,Unarmed
101796796.0,2018,18-038547,Unarmed
102117407.0,2018,18-038547,Unarmed
101959727.0,2018,18-038547,Unarmed
101878981.0,2018,18-038547,Unarmed
101959132.0,2018,18-038547,Unarmed
101835469.0,2018,18-038547,Unarmed
101814742.0,2018,18-038547,Unarmed
102012407.0,2018,18-041150,Unarmed
101796796.0,2018,18-041150,Unarmed
102117407.0,2018,18-041150,Unarmed
101959727.0,2018,18-041150,Unarmed
101878981.0,2018,18-041150,Unarmed
101959132.0,2018,18-041150,Unarmed
101835469.0,2018,18-041150,Unarmed
101814742.0,2018,18-041150,Unarmed
101032433.0,2018,18-020187,Unarmed
101032433.0,2018,18-011512,Unarmed
10610937.0,2020,20-026753,Unarmed
48128548.0,2020,20-026753,Unarmed
101489037.0,2020,20-026753,Unarmed
10579992.0,2020,20-026753,Unarmed
102477935.0,2020,20-026753,Unarmed
102433987.0,2020,20-026753,Unarmed
10610937.0,2020,20-032322,Unarmed
48128548.0,2020,20-032322,Unarmed
101489037.0,2020,20-032322,Unarmed
10579992.0,2020,20-032322,Unarmed
102477935.0,2020,20-032322,Unarmed
102433987.0,2020,20-032322,Unarmed
10610937.0,2020,20-038142,Unarmed
48128548.0,2020,20-038142,Unarmed
101489037.0,2020,20-038142,Unarmed
10579992.0,2020,20-038142,Unarmed
102477935.0,2020,20-038142,Unarmed
102433987.0,2020,20-038142,Unarmed
10610937.0,2020,20-001441,Unarmed
48128548.0,2020,20-001441,Unarmed
101489037.0,2020,20-001441,Unarmed
10579992.0,2020,20-001441,Unarmed
102477935.0,2020,20-001441,Unarmed
102433987.0,2020,20-001441,Unarmed
10610937.0,2020,20-036801,Unarmed
48128548.0,2020,20-036801,Unarmed
101489037.0,2020,20-036801,Unarmed
10579992.0,2020,20-036801,Unarmed
102477935.0,2020,20-036801,Unarmed
102433987.0,2020,20-036801,Unarmed
10610937.0,2020,20-022149,Unarmed
48128548.0,2020,20-022149,Unarmed
101489037.0,2020,20-022149,Unarmed
10579992.0,2020,20-022149,Unarmed
102477935.0,2020,20-022149,Unarmed
102433987.0,2020,20-022149,Unarmed
10610937.0,2018,18-000685,None
48128548.0,2018,18-000685,None
101489037.0,2018,18-000685,None
10579992.0,2018,18-000685,None
102477935.0,2018,18-000685,None
