ArrestNumber,ArresteeID,ArrestYr
20-018820,102747438,2020
20-018820,102089012,2020
20-018820,102253161,2020
20-018820,102384997,2020
20-018820,10325930,2020
20-018820,26182940,2020
19-010488,102748633,2019
19-010488,102389139,2019
19-010488,102438314,2019
19-010488,102413184,2019
20-012343,102413184,2020
20-012343,102389139,2020
20-012343,102438314,2020
20-026244,102413184,2020
20-026244,102389139,2020
20-026244,102438314,2020
20-026244,102393688,2020
20-026244,101815122,2020
20-029011,102168612,2020
20-029011,102747193,2020
20-029011,102748490,2020
20-029011,102690115,2020
20-031116,102690115,2020
20-031116,102031542,2020
20-031116,102541823,2020
20-031116,102748973,2020
20-022381,102335639,2020
20-013865,102502939,2020
19-016816,102748551,2019
21-025889,101032433,2021
21-023459,101032433,2021
19-005801,101032433,2019
20-016548,101032433,2020
21-025768,101032433,2021
19-033750,102302667,2019
21-025916,100874015,2021
21-025916,102749689,2021
21-025916,102344430,2021
21-021843,101188494,2021
21-021843,102502870,2021
21-021843,102343827,2021
21-021843,102353502,2021
21-027823,102343827,2021
21-027823,102353502,2021
21-025207,102343827,2021
21-025207,102353502,2021
21-025207,102335742,2021
21-025207,102743154,2021
19-040678,102238795,2019
20-025824,25261010,2020
20-035361,102082190,2020
20-034161,102086985,2020
20-034161,102295100,2020
18-022775,25261010,2018
18-022775,102082190,2018
19-029175,102086985,2019
20-004063,102295100,2020
21-025706,25261010,2021
21-025648,102082190,2021
21-025700,102086985,2021
19-005023,102295100,2019
21-025973,25261010,2021
19-008989,102082190,2019
21-025862,102086985,2021
19-013544,102295100,2019
16-050803,102022873,2016
19-033083,102749260,2019
19-033083,100720879,2019
19-033083,102360389,2019
19-033083,5591436,2019
19-033083,102531710,2019
19-033083,100452154,2019
19-033083,102503343,2019
19-000886,12608820,2019
19-000886,102297130,2019
19-000886,102418285,2019
19-000886,102443870,2019
19-000886,102673568,2019
19-000886,102746444,2019
19-011683,101306286,2019
19-011683,100663282,2019
19-011683,102716923,2019
19-011683,101948548,2019
19-011683,102453199,2019
19-011683,102436868,2019
19-011683,102406459,2019
19-011683,102348197,2019
19-018638,102244027,2019
19-018638,102365740,2019
19-018638,101573625,2019
19-018638,102368586,2019
19-011746,102716604,2019
19-011746,102691973,2019
19-011746,102716359,2019
19-011746,102395302,2019
19-011746,9709460,2019
19-011746,102050517,2019
19-011746,102218878,2019
19-011746,102001805,2019
18-036581,101945728,2018
18-036581,9709460,2018
18-036581,102050517,2018
18-036581,102218878,2018
18-036581,102001805,2018
18-038547,102218878,2018
18-038547,102001805,2018
18-038547,101945728,2018
18-038547,9709460,2018
18-038547,102050517,2018
18-041150,9709460,2018
18-041150,102050517,2018
18-041150,102218878,2018
18-041150,102001805,2018
18-041150,101945728,2018
18-041150,102584543,2018
18-041150,102775101,2018
18-041150,102751560,2018
19-008240,102765242,2019
19-008431,102775101,2019
20-019054,102751560,2020
19-012847,102765242,2019
19-039656,102775101,2019
21-025897,102751560,2021
21-013946,102765242,2021
