county,year,month,year_month_str,months_from_reform,n_total_hearings,n_felony_hearings,n_ror,n_hdob,n_hwob,pct_ror,pct_hdob,pct_hwob,pct_felony
Allegany,2016,1,2016-01,-10,71,10,21,36,14,29.577464788732396,50.70422535211268,19.718309859154928,14.084507042253522
Allegany,2016,2,2016-02,-9,91,14,21,54,16,23.076923076923077,59.34065934065934,17.582417582417584,15.384615384615385
Allegany,2016,3,2016-03,-8,72,5,20,37,15,27.77777777777778,51.388888888888886,20.833333333333332,6.944444444444445
Allegany,2016,4,2016-04,-7,85,11,26,47,12,30.58823529411765,55.294117647058826,14.117647058823529,12.941176470588236
Allegany,2016,5,2016-05,-6,96,8,27,52,17,28.125,54.166666666666664,17.708333333333332,8.333333333333334
Allegany,2016,6,2016-06,-5,81,11,29,45,7,35.80246913580247,55.55555555555556,8.641975308641975,13.580246913580247
Allegany,2016,7,2016-07,-4,79,14,20,48,11,25.31645569620253,60.75949367088607,13.924050632911392,17.72151898734177
Allegany,2016,8,2016-08,-3,86,9,28,48,10,32.55813953488372,55.81395348837209,11.627906976744185,10.465116279069768
Allegany,2016,9,2016-09,-2,85,8,28,45,12,32.94117647058823,52.94117647058823,14.117647058823529,9.411764705882353
Allegany,2016,10,2016-10,-1,81,9,27,41,13,33.333333333333336,50.617283950617285,16.049382716049383,11.11111111111111
Allegany,2016,11,2016-11,0,67,4,24,26,17,35.82089552238806,38.80597014925373,25.37313432835821,5.970149253731344
Allegany,2016,12,2016-12,1,72,11,28,25,19,38.888888888888886,34.72222222222222,26.38888888888889,15.277777777777779
Allegany,2017,1,2017-01,2,80,12,28,28,24,35.0,35.0,30.0,15.0
Allegany,2017,2,2017-02,3,101,11,28,54,19,27.722772277227723,53.46534653465346,18.81188118811881,10.891089108910892
Allegany,2017,3,2017-03,4,93,12,39,40,14,41.935483870967744,43.01075268817204,15.053763440860216,12.903225806451612
Allegany,2017,4,2017-04,5,89,10,35,37,17,39.325842696629216,41.57303370786517,19.10112359550562,11.235955056179776
Allegany,2017,5,2017-05,6,77,13,31,34,12,40.25974025974026,44.15584415584416,15.584415584415584,16.883116883116884
Allegany,2017,6,2017-06,7,90,10,39,35,16,43.333333333333336,38.888888888888886,17.77777777777778,11.11111111111111
Allegany,2017,7,2017-07,8,85,17,27,26,32,31.764705882352942,30.58823529411765,37.64705882352941,20.0
Allegany,2017,8,2017-08,9,79,17,25,23,31,31.645569620253166,29.11392405063291,39.24050632911393,21.518987341772153
Allegany,2017,9,2017-09,10,86,14,30,27,29,34.883720930232556,31.3953488372093,33.72093023255814,16.27906976744186
Allegany,2017,10,2017-10,11,93,3,49,17,27,52.68817204301075,18.27956989247312,29.032258064516128,3.225806451612903
Allegany,2017,11,2017-11,12,102,8,41,25,36,40.19607843137255,24.50980392156863,35.294117647058826,7.8431372549019605
Allegany,2017,12,2017-12,13,101,8,31,38,32,30.693069306930692,37.62376237623762,31.683168316831683,7.920792079207921
Allegany,2018,1,2018-01,14,142,10,63,27,52,44.36619718309859,19.014084507042252,36.61971830985915,7.042253521126761
Allegany,2018,2,2018-02,15,121,18,49,26,46,40.49586776859504,21.487603305785125,38.01652892561984,14.87603305785124
Allegany,2018,3,2018-03,16,142,6,54,34,54,38.028169014084504,23.943661971830984,38.028169014084504,4.225352112676056
Allegany,2018,4,2018-04,17,137,6,58,29,50,42.33576642335766,21.16788321167883,36.496350364963504,4.37956204379562
Allegany,2018,5,2018-05,18,189,13,80,37,72,42.32804232804233,19.576719576719576,38.095238095238095,6.878306878306878
Allegany,2018,6,2018-06,19,126,11,63,23,40,50.0,18.253968253968253,31.746031746031747,8.73015873015873
Allegany,2018,7,2018-07,20,141,11,43,30,68,30.49645390070922,21.27659574468085,48.226950354609926,7.801418439716312
Allegany,2018,8,2018-08,21,139,12,58,21,60,41.726618705035975,15.107913669064748,43.16546762589928,8.633093525179856
Allegany,2018,9,2018-09,22,160,26,62,34,64,38.75,21.25,40.0,16.25
Allegany,2018,10,2018-10,23,126,10,63,19,44,50.0,15.079365079365079,34.92063492063492,7.936507936507937
Allegany,2018,11,2018-11,24,106,13,39,18,49,36.79245283018868,16.9811320754717,46.22641509433962,12.264150943396226
Allegany,2018,12,2018-12,25,132,18,40,32,60,30.303030303030305,24.242424242424242,45.45454545454545,13.636363636363637
Anne Arundel,2016,1,2016-01,-10,399,40,237,122,40,59.3984962406015,30.576441102756892,10.025062656641603,10.025062656641603
