game_date,opponent,result
2023-03-30,San Francisco Giants,W
2023-04-01,San Francisco Giants,L
2023-04-02,San Francisco Giants,W
2023-04-03,Philadelphia Phillies,W
2023-04-04,Philadelphia Phillies,L
2023-04-05,Philadelphia Phillies,W
2023-04-13,Minnesota Twins,L
2023-04-14,Minnesota Twins,L
2023-04-15,Minnesota Twins,W
2023-04-16,Minnesota Twins,W
2023-04-18,Los Angeles Angels,L
2023-04-19,Los Angeles Angels,W
2023-04-20,Los Angeles Angels,W
2023-04-21,Toronto Blue Jays,L
2023-04-22,Toronto Blue Jays,W
2023-04-23,Toronto Blue Jays,L
2023-05-01,Cleveland Guardians,L
2023-05-02,Cleveland Guardians,W
2023-05-03,Cleveland Guardians,W
2023-05-08,Oakland Athletics,W
2023-05-09,Oakland Athletics,W
2023-05-10,Oakland Athletics,W
2023-05-11,Tampa Bay Rays,L
2023-05-12,Tampa Bay Rays,W
2023-05-13,Tampa Bay Rays,W
2023-05-14,Tampa Bay Rays,L
2023-05-23,Baltimore Orioles,W
2023-05-24,Baltimore Orioles,L
2023-05-25,Baltimore Orioles,L
2023-05-26,San Diego Padres,L
2023-05-27,San Diego Padres,W
2023-05-28,San Diego Padres,W
2023-06-02,Los Angeles Dodgers,L
2023-06-03,Los Angeles Dodgers,W
2023-06-04,Los Angeles Dodgers,W
2023-06-06,Chicago White Sox,L
2023-06-08,Chicago White Sox,W
2023-06-09,Boston Red Sox,L
2023-06-10,Boston Red Sox,W
2023-06-11,Boston Red Sox,L
2023-06-20,Seattle Mariners,W
2023-06-21,Seattle Mariners,W
2023-06-22,Seattle Mariners,L
2023-06-23,Texas Rangers,L
2023-06-24,Texas Rangers,W
2023-06-25,Texas Rangers,W
2023-07-03,Baltimore Orioles,W
2023-07-04,Baltimore Orioles,W
2023-07-05,Baltimore Orioles,L
2023-07-06,Baltimore Orioles,L
2023-07-07,Chicago Cubs,L
2023-07-08,Chicago Cubs,W
2023-07-09,Chicago Cubs,L
2023-07-21,Kansas City Royals,W
2023-07-22,Kansas City Royals,W
2023-07-23,Kansas City Royals,W
2023-07-25,New York Mets,L
2023-07-26,New York Mets,W
2023-07-31,Tampa Bay Rays,L
2023-08-01,Tampa Bay Rays,L
2023-08-02,Tampa Bay Rays,W
2023-08-03,Houston Astros,W
2023-08-04,Houston Astros,L
2023-08-05,Houston Astros,W
2023-08-06,Houston Astros,L
2023-08-18,Boston Red Sox,L
2023-08-19,Boston Red Sox,L
2023-08-20,Boston Red Sox,L
2023-08-22,Washington Nationals,L
2023-08-23,Washington Nationals,W
2023-08-24,Washington Nationals,L
2023-09-05,Detroit Tigers,W
2023-09-06,Detroit Tigers,W
2023-09-07,Detroit Tigers,L
2023-09-08,Milwaukee Brewers,L
2023-09-09,Milwaukee Brewers,L
2023-09-10,Milwaukee Brewers,W
2023-09-19,Toronto Blue Jays,L
2023-09-20,Toronto Blue Jays,L
2023-09-21,Toronto Blue Jays,W
2023-09-22,Arizona Diamondbacks,W
2023-09-24,Arizona Diamondbacks,L
2023-09-25,Arizona Diamondbacks,W
