ArrestNumber,ArChgNumID,Severity,NIBRS_Group,NIBRS_Crime_Category
18-031534,18-031534-01,M,B,DRIVING UNDER THE INFLUENCE
18-043911,18-043911-01,M,B,TRESPASS OF REAL PROPERTY
18-024199,18-024199-01,M,B,PUBLIC INTOXICATION
18-034153,18-034153-01,M,B,PUBLIC INTOXICATION
18-036191,18-036191-02,M,B,PUBLIC INTOXICATION
18-022264,18-022264-01,M,B,PUBLIC INTOXICATION
18-012035,18-012035-02,F,A,DRUG/ NARCOTIC VIOLATIONS
18-045789,18-045789-02,M,B,ALL OTHER OFFENSES
18-039671,18-039671-01,F,B,DRIVING UNDER THE INFLUENCE
18-041722,18-041722-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-030769,18-030769-01,M,B,TRESPASS OF REAL PROPERTY
18-003407,18-003407-02,M,B,ALL OTHER OFFENSES
18-038042,18-038042-01,M,B,PUBLIC INTOXICATION
18-010995,18-010995-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-008463,18-008463-01,M,B,TRESPASS OF REAL PROPERTY
18-031139,18-031139-01,M,B,PUBLIC INTOXICATION
16-027011,16-027011-01,M,B,PUBLIC INTOXICATION
17-035822,17-035822-01,F,A,MOTOR VEHICLE THEFT
18-012826,18-012826-01,F,A,MOTOR VEHICLE THEFT
18-004873,18-004873-01,M,A,LARCENY/ THEFT OFFENSES
20-010147,20-010147-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-016479,18-016479-01,M,B,TRESPASS OF REAL PROPERTY
18-044105,18-044105-01,M,A,EMBEZZELMENT
18-040633,18-040633-02,M,B,ALL OTHER OFFENSES
19-002228,19-002228-01,M,B,PUBLIC INTOXICATION
18-015144,18-015144-01,M,B,PUBLIC INTOXICATION
18-012631,18-012631-01,M,B,PUBLIC INTOXICATION
18-030222,18-030222-01,M,B,PUBLIC INTOXICATION
18-031959,18-031959-01,F,A,WEAPON LAW VIOLATIONS
17-048436,17-048436-01,M,B,PUBLIC INTOXICATION
18-012111,18-012111-01,M,B,PUBLIC INTOXICATION
18-042114,18-042114-01,M,A,LARCENY/ THEFT OFFENSES
18-003100,18-003100-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-011163,18-011163-01,M,B,TRESPASS OF REAL PROPERTY
18-019128,18-019128-01,F,A,ASSAULT OFFENSES
18-035563,18-035563-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-003448,18-003448-01,M,B,PUBLIC INTOXICATION
19-005024,19-005024-01,M,B,PUBLIC INTOXICATION
18-035336,18-035336-01,M,B,PUBLIC INTOXICATION
18-022161,18-022161-02,M,A,DRUG/ NARCOTIC VIOLATIONS
18-000798,18-000798-01,M,B,PUBLIC INTOXICATION
18-037103,18-037103-01,M,A,LARCENY/ THEFT OFFENSES
18-013854,18-013854-01,M,B,PUBLIC INTOXICATION
19-014599,19-014599-01,F,A,BURGLARY/ BREAKING & ENTERING
18-012867,18-012867-01,M,B,PUBLIC INTOXICATION
19-034823,19-034823-01,F,A,MOTOR VEHICLE THEFT
18-034623,18-034623-01,M,B,PUBLIC INTOXICATION
18-018948,18-018948-01,M,B,PUBLIC INTOXICATION
18-012315,18-012315-01,M,B,PUBLIC INTOXICATION
17-049568,17-049568-01,M,B,PUBLIC INTOXICATION
17-037951,17-037951-01,M,B,PUBLIC INTOXICATION
18-045434,18-045434-01,M,A,LARCENY/ THEFT OFFENSES
17-029831,17-029831-01,F,A,LARCENY/ THEFT OFFENSES
18-045049,18-045049-01,M,B,PUBLIC INTOXICATION
20-028355,20-028355-01,M,B,PUBLIC INTOXICATION
18-040159,18-040159-01,M,A,LARCENY/ THEFT OFFENSES
18-038467,18-038467-01,M,B,PUBLIC INTOXICATION
18-020555,18-020555-01,M,B,PUBLIC INTOXICATION
19-044817,19-044817-01,M,B,PUBLIC INTOXICATION
18-011588,18-011588-01,M,A,ASSAULT OFFENSES
18-004794,18-004794-01,M,B,DRIVING UNDER THE INFLUENCE
18-000205,18-000205-01,M,B,PUBLIC INTOXICATION
18-019427,18-019427-01,M,B,PUBLIC INTOXICATION
16-010109,16-010109-01,M,B,PUBLIC INTOXICATION
18-027019,18-027019-01,M,A,LARCENY/ THEFT OFFENSES
17-009224,17-009224-01,M,B,PUBLIC INTOXICATION
18-030094,18-030094-01,M,A,LARCENY/ THEFT OFFENSES
18-020617,18-020617-01,M,B,PUBLIC INTOXICATION
18-016257,18-016257-01,M,B,PUBLIC INTOXICATION
18-032518,18-032518-01,M,B,PUBLIC INTOXICATION
18-033135,18-033135-01,M,B,PUBLIC INTOXICATION
18-021924,18-021924-01,M,B,PUBLIC INTOXICATION
18-014907,18-014907-01,M,B,DRIVING UNDER THE INFLUENCE
18-004440,18-004440-01,M,B,DRIVING UNDER THE INFLUENCE
18-018279,18-018279-01,M,B,PUBLIC INTOXICATION
18-006233,18-006233-01,F,A,LARCENY/ THEFT OFFENSES
18-002201,18-002201-02,M,C,TRAFFIC VIOLATION - HAZARDOUS
18-000325,18-000325-01,M,B,ALL OTHER OFFENSES
17-006781,17-006781-01,M,B,PUBLIC INTOXICATION
18-017784,18-017784-01,M,B,DRIVING UNDER THE INFLUENCE
18-014427,18-014427-01,M,B,TRESPASS OF REAL PROPERTY
18-024602,18-024602-01,M,B,PUBLIC INTOXICATION
18-023060,18-023060-01,M,B,DRIVING UNDER THE INFLUENCE
19-007713,19-007713-02,M,B,ALL OTHER OFFENSES
18-027478,18-027478-01,M,B,PUBLIC INTOXICATION
18-010597,18-010597-01,M,B,PUBLIC INTOXICATION
18-037842,18-037842-01,F,A,LARCENY/ THEFT OFFENSES
18-008122,18-008122-01,M,B,TRESPASS OF REAL PROPERTY
18-040200,18-040200-01,M,B,PUBLIC INTOXICATION
18-011770,18-011770-01,M,B,ALL OTHER OFFENSES
18-037767,18-037767-01,M,B,ALL OTHER OFFENSES
18-038097,18-038097-01,M,A,LARCENY/ THEFT OFFENSES
18-024549,18-024549-01,M,B,DRIVING UNDER THE INFLUENCE
18-007047,18-007047-01,F,A,DRUG/ NARCOTIC VIOLATIONS
17-048612,17-048612-01,M,B,TRESPASS OF REAL PROPERTY
19-009738,19-009738-01,M,B,PUBLIC INTOXICATION
18-030102,18-030102-01,M,B,PUBLIC INTOXICATION
18-020430,18-020430-01,F,B,DRIVING UNDER THE INFLUENCE
18-003321,18-003321-01,M,B,TRESPASS OF REAL PROPERTY
18-020238,18-020238-01,M,B,PUBLIC INTOXICATION
