id,age,race,v_decile_score,v_score_text,is_violent_recid,two_year_recid
1,69,Other,1,Low,0,0
3,34,African-American,1,Low,1,1
7,44,Other,1,Low,0,0
9,43,Other,3,Low,0,0
10,39,Caucasian,1,Low,0,0
14,27,Caucasian,4,Low,0,0
16,37,Caucasian,1,Low,0,0
18,41,African-American,2,Low,0,0
21,37,Hispanic,1,Low,0,0
22,25,African-American,9,High,0,0
23,31,Caucasian,4,Low,1,1
28,21,Caucasian,5,Medium,0,0
32,43,Caucasian,2,Low,0,0
33,32,Other,4,Low,0,0
37,27,African-American,3,Low,1,1
40,33,African-American,6,Medium,1,1
45,55,Caucasian,1,Low,0,0
55,29,Caucasian,2,Low,0,0
56,21,African-American,8,High,0,0
57,51,African-American,1,Low,0,0
61,51,African-American,2,Low,0,0
66,25,Caucasian,9,High,1,1
67,35,African-American,3,Low,1,1
68,49,Caucasian,1,Low,0,0
70,29,African-American,3,Low,0,0
72,28,Other,2,Low,0,0
79,31,African-American,7,Medium,0,0
83,30,Hispanic,3,Low,0,0
84,49,African-American,1,Low,0,0
85,53,Caucasian,2,Low,0,0
87,35,African-American,2,Low,0,0
97,62,Hispanic,1,Low,0,0
99,33,Other,1,Low,0,0
100,56,African-American,1,Low,0,0
101,45,Hispanic,1,Low,1,1
102,22,Hispanic,6,Medium,0,0
105,39,African-American,2,Low,0,0
111,40,African-American,1,Low,0,0
114,22,Caucasian,6,Medium,0,0
115,26,African-American,3,Low,1,1
119,32,African-American,1,Low,0,0
120,41,African-American,2,Low,0,0
122,30,African-American,9,High,1,1
128,25,African-American,10,High,1,1
130,20,Other,8,High,1,1
136,35,African-American,1,Low,0,0
142,25,Caucasian,9,High,1,1
145,20,Caucasian,8,High,0,0
148,54,Caucasian,1,Low,0,0
150,44,Hispanic,1,Low,0,0
151,19,African-American,7,Medium,1,1
153,30,African-American,2,Low,0,0
154,39,Caucasian,1,Low,1,1
157,30,Caucasian,2,Low,0,0
158,31,Caucasian,2,Low,0,0
159,39,Caucasian,3,Low,0,0
163,43,Caucasian,1,Low,0,0
171,34,Caucasian,5,Medium,0,0
174,37,African-American,1,Low,0,0
180,31,African-American,8,High,0,0
182,30,Other,2,Low,0,0
183,31,Caucasian,7,Medium,1,1
189,52,Caucasian,6,Medium,0,0
194,42,Caucasian,1,Low,0,0
195,25,Caucasian,5,Medium,0,0
197,30,Caucasian,2,Low,0,0
200,37,Other,1,Low,0,0
203,24,African-American,3,Low,0,0
215,31,African-American,3,Low,0,0
220,20,African-American,10,High,0,0
222,43,Caucasian,1,Low,0,0
224,32,African-American,5,Medium,1,1
225,33,African-American,2,Low,1,1
