ArresteeID,outcome__rearrested_in_2020,arrests__total,charges__A,charges__B,charges__C,group,pred_logistic_no_race,pred_logistic_with_race,pred_rf_no_race,pred_rf_with_race
102201718,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
10303548,0,2,0,2,0,A,0.048193174,0.041418428,0.08871716,0.07581312
101754350,0,1,1,1,0,A,0.044711919,0.039710761,0.015897755,0.006301095
101582264,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101988962,0,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
102054531,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101796796,0,8,0,8,0,A,0.101652057,0.061817456,0.059299036,0.068023533
101895842,1,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
102182469,0,1,1,1,0,A,0.044711919,0.039710761,0.015897755,0.006301095
101593548,0,3,4,1,0,A,0.062595245,0.050005672,0,0.034052251
102110166,0,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
101643999,0,3,0,3,0,A,0.054726778,0.044302496,0.242088131,0.139892658
102088953,0,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
101558859,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
12739739,0,2,1,1,0,A,0.048930188,0.042916548,0.091972153,0.111766326
102085518,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
102208313,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
10722275,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101500478,0,3,0,3,0,A,0.054726778,0.044302496,0.242088131,0.139892658
102022019,0,1,0,2,0,A,0.0440355,0.038320067,0.041857429,0.005704391
101826535,0,1,1,1,0,A,0.044711919,0.039710761,0.015897755,0.006301095
101934944,0,1,0,1,1,B,0.032414941,0.034741423,0.025931555,0.031998188
45105691,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101776452,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101660853,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101762906,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
102055689,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101685703,0,2,0,2,0,A,0.048193174,0.041418428,0.08871716,0.07581312
102207552,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101660162,0,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
101712175,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101549058,0,1,0,1,0,A,0.042404598,0.038714505,0.03505498,0.018620913
101941509,0,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
101865329,0,1,0,1,0,B,0.042404598,0.047422527,0.03505498,0.0592403
